Trade Date,Weekly,Tenor_Monthly,Tenor_Days,Tenor_Trade_Days,Expiry,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest,Year,MonthOfYear,Futures,File,Expired
2015-07-23,True,1.0,13,9.0,2015-08-05,13.1,13.8,13.0,13.65,13.475,0.0,164,0,94,2015,8,Q (Aug 2015),2015-08-05.w_.CFE_VX_2015.csv,True
2015-07-24,True,1.0,12,8.0,2015-08-05,13.8,14.55,13.5,14.4,14.2,0.725,337,0,92,2015,8,Q (Aug 2015),2015-08-05.w_.CFE_VX_2015.csv,True
2015-07-27,True,1.0,9,7.0,2015-08-05,15.2,15.7,14.9,15.7,15.325,1.125,179,0,229,2015,8,Q (Aug 2015),2015-08-05.w_.CFE_VX_2015.csv,True
2015-07-28,True,1.0,8,6.0,2015-08-05,14.9,15.3,13.7,13.85,13.775,-1.55,275,0,220,2015,8,Q (Aug 2015),2015-08-05.w_.CFE_VX_2015.csv,True
2015-07-29,True,1.0,7,5.0,2015-08-05,13.25,13.75,13.1,13.2,13.2,-0.575,94,0,216,2015,8,Q (Aug 2015),2015-08-05.w_.CFE_VX_2015.csv,True
2015-07-30,True,1.0,6,4.0,2015-08-05,13.75,13.75,12.95,12.95,12.925,-0.275,231,0,141,2015,8,Q (Aug 2015),2015-08-05.w_.CFE_VX_2015.csv,True
2015-07-31,True,1.0,5,3.0,2015-08-05,13.25,13.35,12.65,13.0,12.975,0.05,97,0,97,2015,8,Q (Aug 2015),2015-08-05.w_.CFE_VX_2015.csv,True
2015-08-03,True,1.0,2,2.0,2015-08-05,13.15,13.65,12.6,12.95,12.775,-0.2,185,0,97,2015,8,Q (Aug 2015),2015-08-05.w_.CFE_VX_2015.csv,True
2015-08-04,True,1.0,1,1.0,2015-08-05,12.75,13.25,12.55,13.05,13.075,0.3,177,0,46,2015,8,Q (Aug 2015),2015-08-05.w_.CFE_VX_2015.csv,True
2015-08-05,True,1.0,0,0.0,2015-08-05,,,,12.16,12.16,-0.915,0,0,46,2015,8,Q (Aug 2015),2015-08-05.w_.CFE_VX_2015.csv,True
