Trade Date,Weekly,Tenor_Monthly,Tenor_Days,Tenor_Trade_Days,Expiry,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest,Year,MonthOfYear,Futures,File,Expired
2021-03-19,True,1.0,26,17.0,2021-04-14,23.7,24.5,23.5,23.7,23.375,-0.975,1,0,1,2021,4,J (Apr 2021),2021-04-14.w_.CFE_VX_2021.csv,True
2021-03-26,True,1.0,19,12.0,2021-04-14,21.1,22.55,21.0,21.1,21.05,-1.175,1,0,1,2021,4,J (Apr 2021),2021-04-14.w_.CFE_VX_2021.csv,True
2021-03-29,True,1.0,16,11.0,2021-04-14,21.6,22.3,21.45,21.6,21.775,0.725,1,0,1,2021,4,J (Apr 2021),2021-04-14.w_.CFE_VX_2021.csv,True
2021-03-30,True,1.0,15,10.0,2021-04-14,21.25,22.05,21.0,21.25,20.85,-0.925,2,0,3,2021,4,J (Apr 2021),2021-04-14.w_.CFE_VX_2021.csv,True
2021-03-31,True,1.0,14,9.0,2021-04-14,20.65,21.1,20.25,20.85,20.7,-0.15,12,0,9,2021,4,J (Apr 2021),2021-04-14.w_.CFE_VX_2021.csv,True
2021-04-01,True,1.0,13,8.0,2021-04-14,19.8,20.4,19.5,19.55,19.65,-1.05,3,0,10,2021,4,J (Apr 2021),2021-04-14.w_.CFE_VX_2021.csv,True
2021-04-06,True,1.0,8,6.0,2021-04-14,19.25,19.25,18.75,19.15,19.025,0.025,2,0,11,2021,4,J (Apr 2021),2021-04-14.w_.CFE_VX_2021.csv,True
2021-04-07,True,1.0,7,5.0,2021-04-14,19.0,19.05,18.35,18.5,18.4,-0.625,19,0,30,2021,4,J (Apr 2021),2021-04-14.w_.CFE_VX_2021.csv,True
2021-04-08,True,1.0,6,4.0,2021-04-14,18.0,18.2,17.95,18.0,18.05,-0.35,1,0,29,2021,4,J (Apr 2021),2021-04-14.w_.CFE_VX_2021.csv,True
2021-04-09,True,1.0,5,3.0,2021-04-14,18.15,18.3,17.45,17.55,17.575,-0.475,14,0,35,2021,4,J (Apr 2021),2021-04-14.w_.CFE_VX_2021.csv,True
2021-04-12,True,1.0,2,2.0,2021-04-14,17.25,17.9,17.2,17.25,17.2,-0.375,8,0,33,2021,4,J (Apr 2021),2021-04-14.w_.CFE_VX_2021.csv,True
2021-04-13,True,1.0,1,1.0,2021-04-14,17.5,17.95,16.8,17.35,16.825,-0.375,9,0,34,2021,4,J (Apr 2021),2021-04-14.w_.CFE_VX_2021.csv,True
2021-04-14,True,1.0,0,0.0,2021-04-14,,,,16.8,16.8,-0.025,0,0,34,2021,4,J (Apr 2021),2021-04-14.w_.CFE_VX_2021.csv,True
